Name,Ticker,"Sub-Sector","Market Cap","Operating & Other expenses","Employee Cost","Selling & Administrative Expenses","Net Income (Q)","Total revenue (Q)","EPS (Q)","EBITDA (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)"
SunGarner Energies Ltd,SEL,"Renewable Energy Equipment & Services","43.6156875","-1.2200000000000002","4.4","3.12","0.24999999999999964","7.64","1.37","0.6399999999999997","7","0.5699999999999996","0.33999999999999964"
Artefact Projects Ltd,ARTEFACT,"Construction & Engineering","43.584525","18.630000000000003","10.26","0.98","1.6799999999999997","7.87","2.31","2.71","5.16","2.59","2.2199999999999998"
Salem Erode Investments Ltd,SALEM,"Investment Banking & Brokerage","43.568976","3.9999999999999996","3.28",,"-1.2499999999999996","0.83","-1.1","-0.9599999999999996","1.7899999999999996","-1.2699999999999996","-1.2699999999999996"
Sundrex Oil Company Limited,SOCL,"Commodity Chemicals","43.529044","1.0200000000000031","1.26","2","0.4799999999999995","19.95","0.5","1.2699999999999996","18.68","1.1799999999999995","0.6899999999999995"
Sai Capital Ltd,SAICAPI,"Investment Banking & Brokerage","43.47743","1.0999999999999999","1.17","1.9800000000000002","3.48","6.77","12.37","5.8","0.9700000000000001","5.16","5.16"
Sainik Finance & Industries Ltd,SAINIK,"Specialized Finance","43.4112","9.420000000000002","1.07",,"1.2300000000000004","4.41","1.14","1.2300000000000004","3.1799999999999997","1.2300000000000004","1.2300000000000004"
Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,"Debt","43.408435018",,,,,,,,,,
Archidply Decor Ltd,ADL,"Wood Products","43.25532875","1.1099999999999988","4.72","4.93","0.030000000000000082","10.82","0.04","0.8300000000000001","9.99","0.4600000000000001","0.030000000000000082"
MM Rubber Company Ltd,MMRUBBR-B,"Home Furnishing","43.11908052","-0.8900000000000015","7.62","17.55","-0.6799999999999996","10.6","-1","-0.2699999999999996","10.87","-0.4299999999999996","-0.6799999999999996"
Sagarsoft (India) Ltd,SAGARSOFT,"IT Services & Consulting","42.975016074","23.429999999999975","98.23","11.27","0.9200000000000059","44.13","1.44","0.970000000000006","43.16","0.23000000000000598","0.15000000000000596"
Helloji Holidays Ltd,HELLOJI,"Tour & Travel Services","42.9093","23.99","0.5","0.8",,,,,,,
National Plastic Industries Ltd,NATPLAS,"Plastic Products","42.90912","8.300000000000008","7.6","6.38","2.0299999999999976","31.13","2.23","3.4599999999999973","27.67","2.6599999999999975","2.0299999999999976"
Genus Prime Infra Ltd,GENUSPRIME,"Real Estate","42.86873568","0.010000000000000009","0.12","0.13","0.14999999999999997","1.24","0.11","0.84","0.4","0.48","0.16999999999999998"
N G Industries Ltd,NGIND,"Hospitals & Diagnostic Centres","42.852895","2.0600000000000005","1.84","6.16","0.4299999999999995","4.56","1.27","0.7699999999999996","3.79","0.6199999999999996","0.5999999999999995"
HB Stockholdings Ltd,HBSL,"Investment Banking & Brokerage","42.82599","0.02999999999999936","0.95","10.42","-3.7300000000000004","1.43","-5.24","-4.220000000000001","5.65","-4.28","-4.28"
Continental Securities Ltd,CSL,"Investment Banking & Brokerage","42.512388","0.91",,,"0.5700000000000001","1.07","0.19","0.8","0.27","0.77","0.77"
Motilal Oswal Nifty 50 ETF,MOM50,"Equity","42.473866749",,,,,,,,,,
SBI NIFTY 1D Rate Liquid ETF - Growth,SBILIQETF,"Debt","42.433518256",,,,,,,,,,
Chandni Machines Ltd,CHANDNIMACH,"Commodities Trading","42.420032991","4.05","0.93","0.59","1.85","2.41","5.73","1.9400000000000002","0.47","1.84","1.83"
Sampat Aluminium Ltd,SAMPAT,"Metals - Aluminium","42.4055","0.23000000000000653","0.61","0.45",,,,,,,
Futuristic Solutions Ltd,FUTSOL,"Diversified Financials","42.302252433","5.94",,,"0.2699999999999997","5.51","0.25","0.3899999999999997","5.12","0.3899999999999997","0.3899999999999997"
B2B Software Technologies Ltd,B2BSOFT,"Software Services","42.223690199","27.96",,,"0.3299999999999993","8.2","0.18664551350846906","0.4499999999999993","7.75","0.4099999999999993","0.4099999999999993"
Gokak Textiles Ltd,GOKAKTEX,"Textiles","42.219504768","23.050000000000004","26.65","7.08","-6.380000000000003","22.58","-9.81","6.929999999999998","15.65","2.049999999999998","-6.670000000000003"
Abm International Ltd,ABMINTLLTD,"Plastic Products","42.185472","4.329999999999998","0.56","0.37","-3.3400000000000016","15.44","-3.43","-3.2500000000000018","18.69","-3.2600000000000016","-3.3400000000000016"
Sugal and Damani Share Brokers Ltd,SUGALDAM,"Investment Banking & Brokerage","42.175047236000005","11.849999999999998","1.53","0.53","0.16999999999999998","2.44","0.26","0.25","2.19","0.23","0.22"
Greenleaf Envirotech Ltd,GREENLEAF,"Environmental Services","42.06802875","27.470000000000006","3.23","1.38",,,,,,,
Taparia Tools Ltd,TAPARIA,"Industrial Machinery","42.02995875","102.68000000000004","42.7","103.06","37.60000000000001","258.67","24.77","50.34","208.33","49.59","49.540000000000006"
Rasi Electrodes Ltd,RASIELEC,"Agricultural & Farm Machinery","42.026175","7.909999999999993","4.26","2.15","0.7499999999999973","17.4","0.23","1.2099999999999973","16.19","1.0099999999999973","1.0099999999999973"
Spinaroo Commercial Ltd,SPINAROO,"Packaging","41.957006","0.8599999999999983","0.52","0.65",,,,,,,
Rathi Bars Ltd,RATHIBAR,"Iron & Steel","41.920026419","4.999999999999982","5.2","6.32","0.7100000000000017","90.97","0.43","2.6700000000000017","88.3","1.4700000000000017","0.7100000000000017"
Cybele Industries Ltd,CYBELEIND,"Building Products - Others","41.7457074","1.700000000000001","6.41","1.55","6.159999999999999","22.79","5.76","6.449999999999999","16.34","6.659999999999999","6.249999999999999"
Standard Surfactants Ltd,STDSFAC,"FMCG - Household Products","41.72108","-0.5100000000000051","2.85","4.32","0.4800000000000033","65.17","0.59","2.5900000000000034","62.58","1.9500000000000033","0.7200000000000033"
Madhusudan Securities Ltd,MADHUSE,"Investment Banking & Brokerage","41.660902215","0.30000000000000004","0.05","0.54","3.4400000000000004","5.14","2.19","4.25","0.8899999999999999","4.23","4.23"
Baba Food Processing (India) Ltd,BABAFP,"Agro Products","41.63232765","34.629999999999995","4.05","4.68","1.3700000000000025","43.27","1.14","2.8800000000000026","40.39","2.4400000000000026","1.8600000000000025"
Uma Converter Ltd,UMA,"Packaging","41.5622863","7.800000000000006","18.79","5.78","1.1200000000000006","92.95","0.55","6.780000000000001","86.17","4.880000000000001","1.6400000000000006"
ICICI Prudential Nifty Midcap 150 ETF,MIDCAPIETF,"Equity","41.50582984",,,,,,,,,,
Newmalayalam Steel Ltd,NMSTEEL,"Building Products - Others","41.49024","31.300000000000004","1.72","3.96",,,,,,,
Synoptics Technologies Ltd,SYNOPTICS,"IT Services & Consulting","41.4672","0.16000000000000134","11.58","3.27","0","0","0","0","0","0","0"
Key Corp Ltd,KEYCORP,"Consumer Finance","41.436","3.04",,,"-9.61","0.12","-16.03","-9.6","9.719999999999999","-9.61","-9.61"
Tamilnadu Telecommunication Ltd,TNTELE,"Telecom Equipments","41.432667","0.10999999999999982","1.02","0.46","-3.4699999999999998","0","-0.76","-0.58","0.58","-0.6399999999999999","-3.4699999999999998"
Landmark Global Learning Ltd,LGLL,"Business Support Services","41.32305","0.24999999999999822","8.18","12.08",,,,,,,
Roopa Industries Ltd,ROOPAIND,"Specialty Chemicals","41.27824896","-3.6999999999999997","2.83","1.9","0.7699999999999976","33.54","0.98","2.0299999999999976","31.51","1.8399999999999976","1.0499999999999976"
Mohit Paper Mills Ltd,MOHITPPR,"Paper Products","41.258","51.93000000000001","10.73","3.63","2.6699999999999995","44.06","1.91","6.18","37.88","4.109999999999999","2.3199999999999994"
SBI Nifty Next 50 ETF,SETFNN50,"Equity","41.250120083999995",,,,,,,,,,
Lakshmi Finance and Industrial Corp Ltd,LFIC,"Diversified Financials","41.244","3.1900000000000004","1.89",,"1.33","2.45","4.47","1.9600000000000002","0.49000000000000005","1.9100000000000001","1.9100000000000001"
Polylink Polymers (India) Ltd,POLYLINK,"Commodity Chemicals","41.038944","2.8800000000000043","4.22","6.94","0.2299999999999994","20.48","0.11","0.8599999999999994","19.62","0.4699999999999994","0.3299999999999994"
Sudal Industries Ltd,SUDAI,"Metals - Aluminium","40.993940382","2.6600000000000095","5.63","3","-2.569999999999996","45.49","-3.07","3.3000000000000043","42.19","2.6900000000000044","1.9700000000000044"
Tirupati Foam Ltd,TIRUFOAM,"Home Furnishing","40.9851","8.429999999999998","1.81","3.55","0.45000000000000184","24.85","1","1.9200000000000017","22.93","1.5600000000000018","0.5700000000000018"
Pratik Panels Ltd,PRATIK,"Commodities Trading","40.9589385","1","0.06","0.09","0.6399999999999999","3.85","0.1","0.8999999999999999","2.95","0.8999999999999999","0.8999999999999999"
Prism Medico and Pharmacy Ltd,PRISMMEDI,"Agro Products","40.947989132","-5.551115123125783e-17","0.04","0.22","-0.009999999999999995","0.08","0","-0.009999999999999995","0.09","-0.009999999999999995","-0.009999999999999995"
Lasa Supergenerics Ltd,LASA,"Pharmaceuticals","40.932712263","37.64","6.11","0","-2.55","2.22","-0.51","-0.73","2.95","-2.3","-2.4099999999999997"
Swashthik Plascon Ltd,SPL,"Plastic Products","40.8827895","-4.089999999999988","9.55","2.71",,,,,,,
K G Denim Ltd,KGDENIM,"Textiles","40.86669305","32.99999999999999","23.33","10.83","-4.2","13.27","-1.64","5.5","7.77","1.04","-5.67"
RKD Agri & Retail Ltd,RKDAGRRTL,"Retail - Speciality","40.85655","-0.2600000000000003","0.15","0.27","-0.12000000000000005","0.41","-0.02","-0.12000000000000005","0.53","-0.12000000000000005","-0.12000000000000005"
Ajcon Global Services Ltd,AJCON,"Diversified Financials","40.856216","0.9900000000000002","2.54","12.13","0.2599999999999998","3.56","0.04","0.44999999999999973","3.1100000000000003","0.35999999999999976","0.35999999999999976"
Icon Facilitators Ltd,ICON,"Business Support Services","40.8542008","1.5299999999999976","47.84","2.09",,,,,,,
Seya Industries Ltd,SEYAIND,"Specialty Chemicals","40.75920836","2.6500000000000004","2.02","0.14","-0.6199999999999999","3.81","-0.23","3.3200000000000003","0.49","-1.13","-1.13"
Shining Tools Ltd,SHTL,"Industrial Machinery","40.74048","-0.44000000000000006","1.79","0.36",,,,,,,
N K Industries Ltd,NKIND,"Packaged Foods & Meats","40.7050527","3.1900000000000004","3.04","5.88","-0.81","2.71","-1.35","-0.10000000000000009","2.81","-0.7300000000000001","-0.7300000000000001"
